Datetime,Open,High,Low,Close,Adj Close,Volume
2023-10-10 09:30:00-04:00,354.4599914550781,354.4599914550781,352.625,352.625,352.625,20131
2023-10-10 09:31:00-04:00,353.30999755859375,353.5434875488281,353.0899963378906,353.0899963378906,353.0899963378906,2915
2023-10-10 09:32:00-04:00,353.3599853515625,354.1600036621094,353.3599853515625,354.1600036621094,354.1600036621094,2961
2023-10-10 09:34:00-04:00,355.3699951171875,355.3699951171875,355.3699951171875,355.3699951171875,355.3699951171875,443
2023-10-10 09:35:00-04:00,355.9800109863281,355.9800109863281,355.3999938964844,355.3999938964844,355.3999938964844,941
2023-10-10 09:36:00-04:00,355.5150146484375,355.5150146484375,354.510009765625,354.94000244140625,354.94000244140625,3136
2023-10-10 09:37:00-04:00,354.5799865722656,355.43719482421875,354.5799865722656,355.3598937988281,355.3598937988281,1488
2023-10-10 09:38:00-04:00,355.06500244140625,355.07000732421875,354.0,354.25250244140625,354.25250244140625,3055
2023-10-10 09:39:00-04:00,354.2699890136719,354.75,354.2049865722656,354.2049865722656,354.2049865722656,1886
2023-10-10 09:40:00-04:00,354.32000732421875,354.32000732421875,354.32000732421875,354.32000732421875,354.32000732421875,413
2023-10-10 09:41:00-04:00,353.79998779296875,353.8900146484375,353.79998779296875,353.8900146484375,353.8900146484375,779
2023-10-10 09:42:00-04:00,353.9955139160156,354.0400085449219,353.6499938964844,353.6600036621094,353.6600036621094,1400
2023-10-10 09:43:00-04:00,353.70001220703125,353.70001220703125,353.1700134277344,353.1700134277344,353.1700134277344,1768
2023-10-10 09:44:00-04:00,353.375,354.3399963378906,353.375,354.3399963378906,354.3399963378906,13322
2023-10-10 09:45:00-04:00,354.114990234375,354.5299987792969,354.114990234375,354.2799987792969,354.2799987792969,10754
2023-10-10 09:46:00-04:00,354.1400146484375,354.1400146484375,353.364990234375,353.42999267578125,353.42999267578125,2977
2023-10-10 09:47:00-04:00,353.3299865722656,353.69000244140625,353.07501220703125,353.3299865722656,353.3299865722656,3934
2023-10-10 09:48:00-04:00,353.32501220703125,353.32501220703125,353.32501220703125,353.32501220703125,353.32501220703125,334
2023-10-10 09:49:00-04:00,353.489990234375,354.1000061035156,353.489990234375,354.0799865722656,354.0799865722656,3158
